Wall time,Step,Value
1696877275.9636464,2977792,-742.1871337890625
1696877326.871,2981888,-745.1392211914062
1696877378.0355704,2985984,-789.34814453125
1696877482.0131295,2994176,-754.1865844726562
1696877538.587816,2998272,-677.5137939453125
1696877598.1274626,3002368,-740.9933471679688
1696877895.1719518,3022848,-496.73309326171875
1696877954.5420213,3026944,-637.4469604492188
1696878013.8499293,3031040,-628.281005859375
1696878132.8918686,3039232,-669.3026123046875
1696878192.2088027,3043328,-691.3001708984375
1696878251.3414571,3047424,-760.1195678710938
1696878310.5226252,3051520,-723.1076049804688
1696878726.7486997,3080192,-570.9137573242188
1696878904.945094,3092480,-628.5147094726562
1696878964.375842,3096576,-566.4315185546875
1696879080.6484215,3104768,-732.990234375
1696879336.129046,3125248,-774.1826171875
1696879387.2494833,3129344,-573.5064697265625
1696879438.3747332,3133440,-500.0276184082031
1696879592.3511221,3145728,-526.2802124023438
1696879643.436574,3149824,-512.6515502929688
1696879745.522474,3158016,-627.5010375976562
1696879796.700658,3162112,-636.81787109375
1696879847.7476451,3166208,-622.5928955078125
1696879949.971704,3174400,-731.2797241210938
1696880001.7332344,3178496,-780.7407836914062
1696880104.169777,3186688,-722.2461547851562
1696880155.4014325,3190784,-772.1753540039062
1696880206.5508385,3194880,-750.0784912109375
1696880257.614871,3198976,-706.4299926757812
1696880308.7389297,3203072,-734.7752075195312
1696880359.9860666,3207168,-713.1370849609375
1696880615.4566221,3227648,-747.80126953125
1696880666.5795693,3231744,-757.8360595703125
1696880768.8185053,3239936,-542.8112182617188
1696880870.9659538,3248128,-648.5258178710938
1696880972.4872816,3256320,-694.4779052734375
1696881023.578438,3260416,-549.6854248046875
1696881175.844507,3272704,-713.17431640625
1696881226.6875882,3276800,-748.6602783203125
1696881430.185831,3293184,-756.001708984375
1696881481.2565227,3297280,-807.5669555664062
1696881532.22211,3301376,-537.49169921875
1696881583.1659563,3305472,-492.0379638671875
1696881736.2822046,3317760,-593.3320922851562
1696881889.1278586,3330048,-637.9727172851562
1696882143.3318956,3350528,-728.9947509765625
1696882193.9946933,3354624,-658.272216796875
1696882296.1397583,3362816,-734.9280395507812
1696882347.106615,3366912,-670.7081298828125
1696882397.9771988,3371008,-738.1976318359375
1696882500.3444219,3379200,-739.246337890625
1696882551.286651,3383296,-669.3946533203125
1696882602.143679,3387392,-483.71875
1696882653.0722442,3391488,-501.01220703125
1696882857.1266172,3407872,-680.599853515625
1696882908.7411988,3411968,-709.0745849609375
1696883012.3627753,3420160,-761.9319458007812
1696883064.1648395,3424256,-714.7574462890625
1696883116.019752,3428352,-747.4346313476562
1696883219.8408086,3436544,-693.6190795898438
1696883271.7710965,3440640,-639.1582641601562
1696883427.8019652,3452928,-743.5935668945312
1696883531.8008935,3461120,-793.7660522460938
1696883790.885084,3481600,-688.3010864257812
1696883842.5292294,3485696,-658.4666137695312
1696883997.763607,3497984,-587.9523315429688
1696884150.8790925,3510272,-681.0669555664062
1696884304.0748115,3522560,-723.353759765625
1696884406.9635358,3530752,-718.3339233398438
1696884560.910133,3543040,-617.912841796875
1696884612.2086935,3547136,-629.9014282226562
1696884816.6011524,3563520,-664.6746215820312
1696884867.7714996,3567616,-756.5056762695312
1696885378.1054962,3608576,-549.0770874023438
1696885480.8810441,3616768,-576.462158203125
1696885532.2731838,3620864,-562.0293579101562
1696885583.7637239,3624960,-489.1951599121094
1696885635.094206,3629056,-547.8181762695312
1696885736.831946,3637248,-683.811279296875
1696885838.7980595,3645440,-743.7120971679688
1696885940.2985432,3653632,-540.2276611328125
1696886092.807518,3665920,-509.3185119628906
1696886194.5054052,3674112,-626.66650390625
1696886250.9238677,3678208,-699.8572998046875
1696886428.878447,3690496,-722.7368774414062
1696886488.2753456,3694592,-606.59326171875
1696886600.3140457,3702784,-671.4981689453125
1696886702.7595162,3710976,-755.5800170898438
1696886754.3838446,3715072,-690.1348876953125
1696886805.9499552,3719168,-746.027099609375
1696886909.2411034,3727360,-707.4592895507812
1696886960.9508185,3731456,-750.6074829101562
1696887135.7325263,3743744,-503.7509765625
1696887369.6320443,3760128,-499.9788818359375
1696887420.729854,3764224,-628.4736328125
1696887522.5208135,3772416,-739.330322265625
1696887623.9677362,3780608,-718.6970825195312
